"Notes"	"State"	"State Code"	"Year of Death"	"Year of Death Code"	"Mother's Bridged Race/Hispanic Origin"	"Mother's Bridged Race/Hispanic Origin Code"	Deaths	Births	Death Rate
	"Hawaii"	"15"	"2010"	"2010"	"Non-Hispanic White"	"6"	17	4758	3.57 (Unreliable)
	"Hawaii"	"15"	"2011"	"2011"	"Non-Hispanic White"	"6"	20	4860	4.12
	"Hawaii"	"15"	"2012"	"2012"	"Non-Hispanic White"	"6"	17	4725	3.60 (Unreliable)
	"Hawaii"	"15"	"2013"	"2013"	"Non-Hispanic White"	"6"	26	4940	5.26
	"Hawaii"	"15"	"2013"	"2013"	"Non-Hispanic Black"	"7"	10	542	18.45 (Unreliable)
	"Hawaii"	"15"	"2014"	"2014"	"Non-Hispanic White"	"6"	19	4881	3.89 (Unreliable)
	"Hawaii"	"15"	"2015"	"2015"	"Non-Hispanic White"	"6"	17	4803	3.54 (Unreliable)
	"Hawaii"	"15"	"2016"	"2016"	"Non-Hispanic White"	"6"	20	4582	4.36
	"Hawaii"	"15"	"2017"	"2017"	"Non-Hispanic White"	"6"	21	4330	4.85
	"Hawaii"	"15"	"2017"	"2017"	"Non-Hispanic Black"	"7"	12	571	21.02 (Unreliable)
	"Hawaii"	"15"	"2018"	"2018"	"Non-Hispanic White"	"6"	15	4161	3.60 (Unreliable)
	"Hawaii"	"15"	"2018"	"2018"	"Non-Hispanic Black"	"7"	10	578	17.30 (Unreliable)
	"Hawaii"	"15"	"2019"	"2019"	"Non-Hispanic White"	"6"	21	4076	5.15
	"Idaho"	"16"	"2007"	"2007"	"Non-Hispanic White"	"6"	132	20187	6.54
	"Idaho"	"16"	"2008"	"2008"	"Non-Hispanic White"	"6"	106	19868	5.34
