"Notes"	"State"	"State Code"	"Year of Death"	"Year of Death Code"	"Hispanic Origin"	"Hispanic Origin Code"	Deaths	Births	Death Rate
	"Kansas"	"20"	"2000"	"2000"	"Non-Hispanic Black"	"7"	29	2820	10.28
	"Kansas"	"20"	"2001"	"2001"	"Non-Hispanic White"	"6"	184	29363	6.27
	"Kansas"	"20"	"2001"	"2001"	"Non-Hispanic Black"	"7"	53	2747	19.29
	"Kansas"	"20"	"2002"	"2002"	"Non-Hispanic White"	"6"	190	29563	6.43
	"Kansas"	"20"	"2002"	"2002"	"Non-Hispanic Black"	"7"	41	2846	14.41
	"Kentucky"	"21"	"1999"	"1999"	"Non-Hispanic White"	"6"	338	47837	7.07
	"Kentucky"	"21"	"1999"	"1999"	"Non-Hispanic Black"	"7"	60	4948	12.13
	"Kentucky"	"21"	"2000"	"2000"	"Non-Hispanic White"	"6"	326	49134	6.63
	"Kentucky"	"21"	"2000"	"2000"	"Non-Hispanic Black"	"7"	58	5107	11.36
	"Kentucky"	"21"	"2001"	"2001"	"Non-Hispanic White"	"6"	277	47486	5.83
	"Kentucky"	"21"	"2001"	"2001"	"Non-Hispanic Black"	"7"	38	4905	7.75
	"Kentucky"	"21"	"2002"	"2002"	"Non-Hispanic White"	"6"	310	46812	6.62
	"Kentucky"	"21"	"2002"	"2002"	"Non-Hispanic Black"	"7"	64	4923	13.00
	"Louisiana"	"22"	"1999"	"1999"	"Non-Hispanic White"	"6"	224	36936	6.06
	"Louisiana"	"22"	"1999"	"1999"	"Non-Hispanic Black"	"7"	383	27036	14.17
	"Louisiana"	"22"	"2000"	"2000"	"Non-Hispanic White"	"6"	229	36593	6.26
	"Louisiana"	"22"	"2000"	"2000"	"Non-Hispanic Black"	"7"	365	28303	12.90
	"Louisiana"	"22"	"2001"	"2001"	"Non-Hispanic White"	"6"	250	35381	7.07
	"Louisiana"	"22"	"2001"	"2001"	"Non-Hispanic Black"	"7"	378	27013	13.99
	"Louisiana"	"22"	"2002"	"2002"	"Non-Hispanic White"	"6"	262	35428	7.40
	"Louisiana"	"22"	"2002"	"2002"	"Non-Hispanic Black"	"7"	380	26616	14.28
	"Maine"	"23"	"1999"	"1999"	"Non-Hispanic White"	"6"	62	12449	4.98
	"Maine"	"23"	"2000"	"2000"	"Non-Hispanic White"	"6"	63	13019	4.84
	"Maine"	"23"	"2001"	"2001"	"Non-Hispanic White"	"6"	78	13074	5.97
	"Maine"	"23"	"2002"	"2002"	"Non-Hispanic White"	"6"	55	12852	4.28
	"Maryland"	"24"	"1999"	"1999"	"Non-Hispanic White"	"6"	206	40400	5.10
	"Maryland"	"24"	"1999"	"1999"	"Non-Hispanic Black"	"7"	355	24048	14.76
	"Maryland"	"24"	"2000"	"2000"	"Non-Hispanic White"	"6"	192	41013	4.68
	"Maryland"	"24"	"2000"	"2000"	"Non-Hispanic Black"	"7"	321	24678	13.01
	"Maryland"	"24"	"2001"	"2001"	"Non-Hispanic White"	"6"	217	39798	5.45
	"Maryland"	"24"	"2001"	"2001"	"Non-Hispanic Black"	"7"	315	24046	13.10
	"Maryland"	"24"	"2002"	"2002"	"Non-Hispanic White"	"6"	222	39093	5.68
	"Maryland"	"24"	"2002"	"2002"	"Non-Hispanic Black"	"7"	286	24007	11.91
	"Massachusetts"	"25"	"1999"	"1999"	"Non-Hispanic White"	"6"	264	60744	4.35
	"Massachusetts"	"25"	"1999"	"1999"	"Non-Hispanic Black"	"7"	77	6548	11.76
	"Massachusetts"	"25"	"2000"	"2000"	"Non-Hispanic White"	"6"	229	60419	3.79
	"Massachusetts"	"25"	"2000"	"2000"	"Non-Hispanic Black"	"7"	73	6436	11.34
	"Massachusetts"	"25"	"2001"	"2001"	"Non-Hispanic White"	"6"	245	59407	4.12
	"Massachusetts"	"25"	"2001"	"2001"	"Non-Hispanic Black"	"7"	67	6552	10.23
